dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
cmc,XGBoost,1325,148,3,0.5010747313499451,0.8467870950698853,0.07997532188892365,0.5810810923576355,0.027043532580137253
cnae-9,CatBoost,972,108,9,0.10119453817605972,0.35471007227897644,0.04682927206158638,0.9351851940155029,0.3776536285877228
cnae-9,ExtraTrees,972,108,9,0.08168411254882812,0.1933543086051941,0.047708529978990555,0.9537037014961243,0.4689635504037142
cnae-9,LightGBM,972,108,9,0.09271667897701263,1.1010360717773438,0.037192150950431824,0.9444444179534912,0.5700266314670444
cnae-9,LinearModel,972,108,9,0.08283255994319916,1.7009763717651367,0.043332647532224655,0.9351851940155029,0.35899089090526104
cnae-9,NeuralNetFastAI,972,108,9,0.05494233965873718,0.3504929840564728,0.04128461331129074,0.9629629850387573,0.3842409551143646
cnae-9,NeuralNetTorch,972,108,9,0.06992603838443756,0.1701357662677765,0.02959218993782997,0.9629629850387573,0.47999352402985096
cnae-9,RandomForest,972,108,9,0.07410646229982376,0.19325591623783112,0.04298161715269089,0.9444444179534912,0.4635156886652112
cnae-9,XGBoost,972,108,9,0.11874952912330627,0.3174436688423157,0.06333966553211212,0.9259259104728699,0.30102591030299664
collins,CatBoost,900,100,30,0.8801650404930115,3.10341739654541,0.24071785807609558,0.28999999165534973,44.26827925257385
collins,ExtraTrees,900,100,30,0.9612317085266113,3.0931527614593506,0.2576119601726532,0.18000000715255737,73.93527660425752
collins,LightGBM,900,100,30,0.9469989538192749,3.361453056335449,0.2846945822238922,0.2199999988079071,43.45676345843822
collins,LinearModel,900,100,30,0.9905754327774048,3.996270179748535,0.30419737100601196,0.20000000298023224,63.47126820590347
collins,NeuralNetFastAI,900,100,30,0.891520619392395,3.4367258548736572,0.22410044074058533,0.25999999046325684,56.49082507099956
collins,NeuralNetTorch,900,100,30,0.9240158796310425,3.075085401535034,0.25187304615974426,0.23999999463558197,57.408172983676195
collins,RandomForest,900,100,30,0.9938403964042664,3.1971449851989746,0.27811917662620544,0.1899999976158142,54.26243125740439
collins,XGBoost,900,100,30,1.0427995920181274,3.768139362335205,0.34597864747047424,0.1599999964237213,36.92975345160812
connect-4,CatBoost,60801,6756,3,0.17561784386634827,0.3134872317314148,0.01235380582511425,0.8783303499221802,0.14592580869793892
connect-4,ExtraTrees,60801,6756,3,0.24920260906219482,0.447407990694046,0.008079013787209988,0.8217880129814148,0.2601460497826338
connect-4,LightGBM,60801,6756,3,0.17572200298309326,0.3141288757324219,0.010705415159463882,0.875666081905365,0.1451488258317113
connect-4,LinearModel,60801,6756,3,0.33409368991851807,0.5908719897270203,0.010436180047690868,0.7587329745292664,0.2909797551110387
connect-4,NeuralNetFastAI,60801,6756,3,0.1667727530002594,0.2982572317123413,0.018967244774103165,0.8843990564346313,0.22802193276584148
connect-4,NeuralNetTorch,60801,6756,3,0.17516113817691803,0.31353577971458435,0.02351483516395092,0.8784784078598022,0.22954467870295048
connect-4,RandomForest,60801,6756,3,0.25951912999153137,0.467062771320343,0.00511636957526207,0.8155713677406311,0.25900793354958296
connect-4,XGBoost,60801,6756,3,0.17660515010356903,0.3149653375148773,0.012515489012002945,0.8724097013473511,0.1586114503443241
dilbert,CatBoost,9000,1000,5,0.0213936734944582,0.03756653517484665,0.005242405459284782,0.9850000143051147,0.28113241773098707
dilbert,ExtraTrees,9000,1000,5,0.03247714787721634,0.06687844544649124,0.007438585627824068,0.9800000190734863,0.24228964280337095
dilbert,LightGBM,9000,1000,5,0.01162036508321762,0.026660792529582977,0.006006898358464241,0.9919999837875366,0.2885999632999301
dilbert,LinearModel,9000,1000,5,0.09013767540454865,0.16470596194267273,0.020142599940299988,0.9430000185966492,0.20825039502233267
dilbert,NeuralNetFastAI,9000,1000,5,0.017820866778492928,0.03481917083263397,0.00841727014631033,0.9890000224113464,0.2916830936446786
dilbert,NeuralNetTorch,9000,1000,5,0.014179391786456108,0.029577380046248436,0.012783244252204895,0.9919999837875366,0.2617375086992979
dilbert,RandomForest,9000,1000,5,0.060117196291685104,0.11822151392698288,0.01352773979306221,0.9599999785423279,0.28419733326882124
dilbert,XGBoost,9000,1000,5,0.01636604219675064,0.033417072147130966,0.0052922130562365055,0.9890000224113464,0.22541585378348827
dna,CatBoost,2867,319,3,0.06764271855354309,0.1262042075395584,0.022122493013739586,0.9592476487159729,0.02938611712306738
dna,ExtraTrees,2867,319,3,0.08305856585502625,0.15780842304229736,0.03603905439376831,0.9404388666152954,0.035771289840340614
dna,LightGBM,2867,319,3,0.06497807800769806,0.12195788323879242,0.023338865488767624,0.9592476487159729,0.02696121856570244
dna,LinearModel,2867,319,3,0.12572330236434937,0.23026041686534882,0.03904442489147186,0.9216300845146179,0.02719317376613617
dna,NeuralNetFastAI,2867,319,3,0.08297113329172134,0.15643171966075897,0.018730919808149338,0.9435736536979675,0.02442892547696829
dna,NeuralNetTorch,2867,319,3,0.08160389214754105,0.15830649435520172,0.017958927899599075,0.9404388666152954,0.032507358118891716
dna,RandomForest,2867,319,3,0.09352719038724899,0.17351089417934418,0.026883967220783234,0.9404388666152954,0.03762355260550976
dna,XGBoost,2867,319,3,0.06389614939689636,0.12329287081956863,0.025230899453163147,0.9592476487159729,0.027235609479248524
eucalyptus,CatBoost,662,74,5,0.4063386917114258,0.665238618850708,0.13619273900985718,0.6891891956329346,0.08593571651726961
eucalyptus,ExtraTrees,662,74,5,0.3630765378475189,0.6116551756858826,0.08081945776939392,0.7162162065505981,0.09658732544630766
eucalyptus,LightGBM,662,74,5,0.3548482060432434,0.607042133808136,0.08334705978631973,0.7432432174682617,0.11124762799590826
eucalyptus,LinearModel,662,74,5,0.44516563415527344,0.7363179922103882,0.0832923948764801,0.6486486196517944,0.09429176803678274
eucalyptus,NeuralNetFastAI,662,74,5,0.41225284337997437,0.6555132269859314,0.09517986327409744,0.7027027010917664,0.09749375190585852
eucalyptus,NeuralNetTorch,662,74,5,0.42241591215133667,0.6664929389953613,0.0905572921037674,0.6351351141929626,0.0957834180444479
eucalyptus,RandomForest,662,74,5,0.39304500818252563,0.6687783002853394,0.08962959051132202,0.6756756901741028,0.06730358581990004
eucalyptus,XGBoost,662,74,5,0.3989960849285126,0.6774926781654358,0.10051499307155609,0.7297297120094299,0.09560058265924454
eye_movements,CatBoost,9842,1094,3,0.35145193338394165,0.5943925976753235,0.04315593093633652,0.7394881248474121,0.057303364388644695
