dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
balance-scale,XGBoost,562,63,3,0.019764932865400178,0.047984814157907986,0.0398811437189579,1.0,0.03769941721111536
baseball,CatBoost,1206,134,3,0.07120678096592482,0.13497721892589581,0.0335841104388237,0.9552238583564758,0.04934139642864466
baseball,ExtraTrees,1206,134,3,0.07367133358233555,0.1354362999390454,0.026737257838249207,0.9552238583564758,0.04987839795649052
baseball,LightGBM,1206,134,3,0.07327865143523424,0.13424988204233723,0.0342496857047081,0.9552238583564758,0.03774999361485243
baseball,LinearModel,1206,134,3,0.06656497634257644,0.12712339030205685,0.028059465810656548,0.9552238583564758,0.05173861514776945
baseball,NeuralNetFastAI,1206,134,3,0.07283288652471298,0.12706102463960486,0.03522367775440216,0.9477611780166626,0.04146541841328144
baseball,NeuralNetTorch,1206,134,3,0.07295596867845575,0.134861498468814,0.03176198527216911,0.9477611780166626,0.05938916839659214
baseball,RandomForest,1206,134,3,0.07536767006604383,0.1432144619797804,0.04223211109638214,0.9552238583564758,0.04074770398437977
baseball,XGBoost,1206,134,3,0.07090449808246997,0.13516296619894963,0.04125622287392616,0.9552238583564758,0.057199569419026375
car,CatBoost,1555,173,4,0.0006951232668988564,0.0034677845252378903,0.0032585090957581997,1.0,0.062495432794094086
car,ExtraTrees,1555,173,4,0.01151294090476954,0.025646276873814353,0.007475042715668678,0.9942196607589722,0.061225452460348606
car,LightGBM,1555,173,4,4.5222346209318614e-08,0.00016114313624932496,0.00016194581985473633,1.0,0.02486719749867916
car,LinearModel,1555,173,4,0.08399870717428984,0.13356537656325493,0.04141965135931969,0.9248554706573486,0.07312557566910982
