dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
pendigits,CatBoost,9892,1100,10,0.007565387524664402,0.06548137217760086,0.058915138244628906,0.9972727298736572,0.34391146153211594
pendigits,ExtraTrees,9892,1100,10,0.012037822045385838,0.07434431463479996,0.05561988800764084,0.9945454597473145,0.28735608235001564
pendigits,LightGBM,9892,1100,10,0.011731838807463646,0.072945237159729,0.0570184662938118,0.9945454597473145,0.31903597339987755
pendigits,LinearModel,9892,1100,10,0.06146891415119171,0.1805146187543869,0.0695192888379097,0.9672726988792419,0.32307375967502594
pendigits,NeuralNetFastAI,9892,1100,10,0.012885714881122112,0.07212114334106445,0.05712462216615677,0.9936363697052002,0.349076297134161
pendigits,NeuralNetTorch,9892,1100,10,0.010297625325620174,0.07017971575260162,0.05845484137535095,0.996363639831543,0.3166622519493103
pendigits,RandomForest,9892,1100,10,0.01980910636484623,0.08559604734182358,0.057997144758701324,0.9890909194946289,0.28862249478697777
pendigits,XGBoost,9892,1100,10,0.014900010079145432,0.07775641232728958,0.05628058686852455,0.9918181896209717,0.35896941274404526
robert,CatBoost,9000,1000,10,0.5981757044792175,1.3547110557556152,0.07737263292074203,0.5540000200271606,0.4371027573943138
robert,ExtraTrees,9000,1000,10,0.6648905277252197,1.5447564125061035,0.09237105399370193,0.49300000071525574,0.444110207259655
robert,LightGBM,9000,1000,10,0.5794428586959839,1.3096610307693481,0.07268048822879791,0.550000011920929,0.43614452704787254
robert,LinearModel,9000,1000,10,0.7758703231811523,1.8186172246932983,0.10621770471334457,0.367000013589859,0.4097469411790371
robert,NeuralNetFastAI,9000,1000,10,0.6647744178771973,1.5226619243621826,0.08097028732299805,0.47600001096725464,0.4358084872364998
robert,NeuralNetTorch,9000,1000,10,0.6560894250869751,1.5039159059524536,0.08573928475379944,0.49799999594688416,0.4412771388888359
robert,RandomForest,9000,1000,10,0.6737176775932312,1.5682692527770996,0.07809858024120331,0.48100000619888306,0.44352543726563454
robert,XGBoost,9000,1000,10,0.6101711392402649,1.3852466344833374,0.07028280198574066,0.5289999842643738,0.4361314885318279
satimage,CatBoost,5787,643,6,0.12357815355062485,0.26717573404312134,0.04822215437889099,0.9129082560539246,0.15048189461231232
satimage,ExtraTrees,5787,643,6,0.124488964676857,0.27151843905448914,0.06122085452079773,0.9222394824028015,0.14057261496782303
satimage,LightGBM,5787,643,6,0.12087772786617279,0.26134175062179565,0.05467214062809944,0.9129082560539246,0.14887914061546326
satimage,LinearModel,5787,643,6,0.1805940419435501,0.3632628321647644,0.062485359609127045,0.8693623542785645,0.15195799246430397
satimage,NeuralNetFastAI,5787,643,6,0.11666169762611389,0.24701471626758575,0.0631028488278389,0.9160186648368835,0.14757472276687622
