dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
cmc,RandomForest,1325,148,3,0.505318876689734,0.8523234880207545,0.07770900428295135,0.6013513803482056,0.0015084613114595413
cmc,XGBoost,1325,148,3,0.5015969820848872,0.8497859388788959,0.1291411966085434,0.587837815284729,0.0015464909374713898
cnae-9,CatBoost,972,108,9,0.06976229256686382,0.22901868508908382,0.046977292746305466,0.9629629850387573,0.003349263221025467
cnae-9,ExtraTrees,972,108,9,0.08035389989114261,0.787127701831425,0.050899650901556015,0.9629629850387573,0.003487970679998398
cnae-9,LightGBM,972,108,9,0.06475136273119854,0.7724357520565985,0.03574952110648155,0.9537037014961243,0.003397364169359207
cnae-9,LinearModel,972,108,9,0.05991977856774588,0.754904051478129,0.04013082757592201,0.9537037014961243,0.0035402048379182816
cnae-9,NeuralNetFastAI,972,108,9,0.06599011445638417,1.3335407806646546,0.025606457144021988,0.9537037014961243,0.003546159714460373
cnae-9,NeuralNetTorch,972,108,9,0.06104957899747729,0.7099294901052431,0.025083104148507118,0.9537037014961243,0.003383249044418335
cnae-9,RandomForest,972,108,9,0.08046168850849475,0.18031503479724667,0.057580411434173584,0.9444444179534912,0.0034658927470445633
cnae-9,XGBoost,972,108,9,0.09726293851262889,1.4675087933232092,0.06631116569042206,0.9351851940155029,0.0035128649324178696
collins,CatBoost,900,100,30,0.847104936022135,4.486123097237509,0.07066505402326584,0.2800000011920929,0.010583335533738136
collins,ExtraTrees,900,100,30,0.8741897881999922,3.2961924569014722,0.06076815351843834,0.20000000298023224,0.010710237547755241
collins,LightGBM,900,100,30,0.8506073350624687,3.839308394416993,0.08704138547182083,0.30000001192092896,0.010666288435459137
collins,LinearModel,900,100,30,0.8733255796867193,5.277092678886481,0.10037846863269806,0.2800000011920929,0.010604985058307648
collins,NeuralNetFastAI,900,100,30,0.846028110144093,3.149086922002159,0.06394530087709427,0.27000001072883606,0.010345151647925377
collins,NeuralNetTorch,900,100,30,0.81893805560657,2.3918967206495356,0.0911850556731224,0.28999999165534973,0.010531775653362274
collins,RandomForest,900,100,30,0.8635849759855927,3.281013667012016,0.08084048330783844,0.2199999988079071,0.01047411561012268
collins,XGBoost,900,100,30,0.8692580363710016,3.3129656136250936,0.03886846825480461,0.25999999046325684,0.010123703628778458
connect-4,CatBoost,60801,6756,3,0.18013501875184657,0.34368751611380927,0.015806084498763084,0.8753700256347656,0.014394233003258705
connect-4,ExtraTrees,60801,6756,3,0.2536930947837661,0.46776992976560655,0.01506076566874981,0.8214920163154602,0.013766489923000336
connect-4,LightGBM,60801,6756,3,0.18018469315130836,0.3416310440564814,0.015376805327832699,0.8728537559509277,0.012448418885469437
connect-4,LinearModel,60801,6756,3,0.33821201808683576,0.6080479850538456,0.01546097919344902,0.759177029132843,0.01263333298265934
connect-4,NeuralNetFastAI,60801,6756,3,0.16891033804464092,0.32054479158652394,0.020546087995171547,0.8838070034980774,0.012210899963974953
connect-4,NeuralNetTorch,60801,6756,3,0.17648955721668477,0.33290385304236353,0.022483358159661293,0.8772942423820496,0.012686992064118385
connect-4,RandomForest,60801,6756,3,0.26307019444113366,0.4847312064319677,0.023358676582574844,0.8127590417861938,0.01293211430311203
connect-4,XGBoost,60801,6756,3,0.1805832580147909,0.3417914136563273,0.020949039608240128,0.8715215921401978,0.012605056166648865
dilbert,CatBoost,9000,1000,5,0.024063808887722048,0.1114837364006002,0.008352390490472317,0.984000027179718,0.0045017059892416
dilbert,ExtraTrees,9000,1000,5,0.03928511057961627,0.08289803068919946,0.01270462665706873,0.9760000109672546,0.004636326804757118
dilbert,LightGBM,9000,1000,5,0.010695251063640204,0.2193425997419353,0.004424906801432371,0.9940000176429749,0.004394214600324631
dilbert,LinearModel,9000,1000,5,0.0914676035317512,0.20730190351907987,0.014197558164596558,0.9380000233650208,0.00450473465025425
dilbert,NeuralNetFastAI,9000,1000,5,0.020252917244159806,0.05014918126219949,0.005516005679965019,0.9850000143051147,0.004610767588019371
dilbert,NeuralNetTorch,9000,1000,5,0.013204154801634886,0.028819088321442417,0.010752175003290176,0.9879999756813049,0.005161944776773453
