dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
dna,LightGBM,2867,319,3,0.061945367604494095,0.11631010472774506,0.030193598940968513,0.962382435798645,0.03004420828074217
dna,LinearModel,2867,319,3,0.12267817556858063,0.22724713385105133,0.03192964568734169,0.9278996586799622,0.028570663183927536
dna,NeuralNetFastAI,2867,319,3,0.08151974529027939,0.15724200010299683,0.02735341154038906,0.9467084407806396,0.027264999225735664
dna,NeuralNetTorch,2867,319,3,0.08062244206666946,0.15540432929992676,0.02021077647805214,0.9467084407806396,0.027008256874978542
dna,RandomForest,2867,319,3,0.09047860652208328,0.16633591055870056,0.02115851640701294,0.9404388666152954,0.03413219563663006
dna,XGBoost,2867,319,3,0.06135980039834976,0.12018200010061264,0.026442283764481544,0.9592476487159729,0.030302097089588642
eucalyptus,CatBoost,662,74,5,0.4049801826477051,0.6819339990615845,0.08063957840204239,0.6891891956329346,0.02744919154793024
eucalyptus,ExtraTrees,662,74,5,0.3717421591281891,0.6375288963317871,0.09689341485500336,0.662162184715271,0.021846282295882702
eucalyptus,LightGBM,662,74,5,0.3597545623779297,0.628095805644989,0.16264039278030396,0.662162184715271,0.025044730864465237
eucalyptus,LinearModel,662,74,5,0.44058454036712646,0.7462823390960693,0.1074734479188919,0.662162184715271,0.02391908597201109
eucalyptus,NeuralNetFastAI,662,74,5,0.3996063470840454,0.6419098377227783,0.13768905401229858,0.662162184715271,0.020634867250919342
eucalyptus,NeuralNetTorch,662,74,5,0.4260067343711853,0.668525755405426,0.057850468903779984,0.6486486196517944,0.017575125209987164
eucalyptus,RandomForest,662,74,5,0.3984017074108124,0.6822970509529114,0.04795144870877266,0.6756756901741028,0.020212192088365555
eucalyptus,XGBoost,662,74,5,0.4070490300655365,0.7145585417747498,0.11885881423950195,0.6756756901741028,0.024149619042873383
eye_movements,CatBoost,9842,1094,3,0.3525649607181549,0.5962666869163513,0.029695071280002594,0.7385740280151367,0.06038278620690107
eye_movements,ExtraTrees,9842,1094,3,0.31846290826797485,0.5476007461547852,0.0360967293381691,0.7769652605056763,0.07062316592782736
eye_movements,LightGBM,9842,1094,3,0.27854564785957336,0.4864340126514435,0.03452446311712265,0.8135283589363098,0.0772324688732624
eye_movements,LinearModel,9842,1094,3,0.563469648361206,0.9173340797424316,0.02821594849228859,0.513711154460907,0.07922334875911474
eye_movements,NeuralNetFastAI,9842,1094,3,0.4334767460823059,0.7207174897193909,0.04758153110742569,0.674588680267334,0.06017197947949171
eye_movements,NeuralNetTorch,9842,1094,3,0.41697293519973755,0.6944945454597473,0.06534865498542786,0.690127968788147,0.06794128846377134
eye_movements,RandomForest,9842,1094,3,0.38102325797080994,0.6491228342056274,0.0354524627327919,0.7221206426620483,0.062057903967797756
eye_movements,XGBoost,9842,1094,3,0.3183864951133728,0.5464547872543335,0.03843095898628235,0.7742230296134949,0.05787243973463774
fabert,CatBoost,7413,824,7,0.35376301407814026,0.7165242433547974,0.058139823377132416,0.7354369163513184,0.15462538413703442
fabert,ExtraTrees,7413,824,7,0.3716093599796295,0.7386926412582397,0.03734477236866951,0.7099514603614807,0.11874662525951862
fabert,LightGBM,7413,824,7,0.3565822243690491,0.7074788212776184,0.05074957758188248,0.7172330021858215,0.1295908922329545
fabert,LinearModel,7413,824,7,0.4807495176792145,0.9962329268455505,0.07911643385887146,0.6347087621688843,0.11831773724406958
