dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
volcanoes-b5,LightGBM,8990,999,5,0.055823363446869584,0.14105650687645066,0.012520686723291874,0.9679679870605469,0.021509308367967606
volcanoes-b5,LinearModel,8990,999,5,0.05657947539861068,0.20463601349191962,0.013025451451539993,0.965965986251831,0.021041464060544968
volcanoes-b5,NeuralNetFastAI,8990,999,5,0.05721884338256693,0.13939098973832337,0.009824039414525032,0.965965986251831,0.021308057010173798
volcanoes-b5,NeuralNetTorch,8990,999,5,0.05717014520442006,0.26675477240125245,0.013116998597979546,0.965965986251831,0.021465495228767395
volcanoes-b5,RandomForest,8990,999,5,0.0569609567492798,0.1405445933981704,0.005847054999321699,0.966966986656189,0.020452294498682022
volcanoes-b5,XGBoost,8990,999,5,0.055507666411812165,0.14044244730398012,0.007968002930283546,0.9679679870605469,0.021389003843069077
volcanoes-b6,CatBoost,9117,1013,5,0.06354355241109756,0.169349082692536,0.01705029048025608,0.9634748101234436,0.021185778081417084
volcanoes-b6,ExtraTrees,9117,1013,5,0.0631824213757505,0.17174171651395578,0.014011677354574203,0.9644619822502136,0.021383244544267654
volcanoes-b6,LightGBM,9117,1013,5,0.0636886098088665,0.1711176148954419,0.017094315961003304,0.9624876379966736,0.021456170827150345
volcanoes-b6,LinearModel,9117,1013,5,0.0644434107711835,0.2391914667806685,0.015563053078949451,0.9644619822502136,0.021543633192777634
volcanoes-b6,NeuralNetFastAI,9117,1013,5,0.06375607130325449,0.17268400258594951,0.01625680737197399,0.9644619822502136,0.021527618169784546
volcanoes-b6,NeuralNetTorch,9117,1013,5,0.06382202052481474,0.17365983283136277,0.018669145181775093,0.9644619822502136,0.021621521562337875
volcanoes-b6,RandomForest,9117,1013,5,0.06401176209076503,0.17071663137178106,0.014373134821653366,0.9615004658699036,0.021306294947862625
volcanoes-b6,XGBoost,9117,1013,5,0.062415431033331616,0.17013576195192917,0.010674390941858292,0.9634748101234436,0.02143673598766327
volcanoes-d1,CatBoost,7877,876,5,0.09981236099848721,0.2528480560415475,0.019622184336185455,0.9440639019012451,0.0203520730137825
volcanoes-d1,ExtraTrees,7877,876,5,0.10012495970505107,0.26024077473285717,0.014834821224212646,0.9440639019012451,0.01969541609287262
volcanoes-d1,LightGBM,7877,876,5,0.10027086769092099,0.2575762317115371,0.011785040609538555,0.9440639019012451,0.019574608653783798
volcanoes-d1,LinearModel,7877,876,5,0.09991319443772351,0.25703532493552667,0.013623121194541454,0.9429223537445068,0.019523046910762787
volcanoes-d1,NeuralNetFastAI,7877,876,5,0.10003894412762471,0.32637278808679127,0.012609483674168587,0.9429223537445068,0.02099999040365219
volcanoes-d1,NeuralNetTorch,7877,876,5,0.10023819342915047,0.32598289600793323,0.01291540078818798,0.9429223537445068,0.02001628652215004
volcanoes-d1,RandomForest,7877,876,5,0.10099641468121127,0.4009422160325914,0.012900911271572113,0.9440639019012451,0.019327249377965927
volcanoes-d1,XGBoost,7877,876,5,0.09930036861237107,0.2535896257601485,0.020001085475087166,0.9452054500579834,0.019969090819358826
volcanoes-d4,CatBoost,7788,866,5,0.09596055113849097,0.23603092588177646,0.013000521808862686,0.943418025970459,0.019876983016729355
volcanoes-d4,ExtraTrees,7788,866,5,0.09630398135667444,0.23790806217286775,0.014722466468811035,0.9457274675369263,0.01924082264304161
volcanoes-d4,LightGBM,7788,866,5,0.09679555950365396,0.30917756498065346,0.010508930310606956,0.943418025970459,0.01985396072268486
volcanoes-d4,LinearModel,7788,866,5,0.09676416232441863,0.2384743868816502,0.016362782567739487,0.943418025970459,0.019464939832687378
volcanoes-d4,NeuralNetFastAI,7788,866,5,0.09709350932245903,0.2367191366705493,0.012179548852145672,0.943418025970459,0.01913778856396675
volcanoes-d4,NeuralNetTorch,7788,866,5,0.09697882202781963,0.3096139622723584,0.012740466743707657,0.943418025970459,0.019994013011455536
volcanoes-d4,RandomForest,7788,866,5,0.09789389158503058,0.24382047305719964,0.014638125896453857,0.943418025970459,0.019196901470422745
volcanoes-d4,XGBoost,7788,866,5,0.09782802031010607,0.24380908704841558,0.007489192299544811,0.943418025970459,0.01922929286956787
volcanoes-e1,CatBoost,1064,119,5,0.1558970869593593,0.371856163524318,0.04625774174928665,0.9159663915634155,0.010699141770601273
volcanoes-e1,ExtraTrees,1064,119,5,0.16303363187689304,0.3862915781822961,0.05850737541913986,0.9075630307197571,0.010647837072610855
volcanoes-e1,LightGBM,1064,119,5,0.16331250283819862,0.40021482129718133,0.046534232795238495,0.9075630307197571,0.009812481701374054
volcanoes-e1,LinearModel,1064,119,5,0.16600197671029754,0.38347132437093334,0.05769806727766991,0.9075630307197571,0.010320339351892471
volcanoes-e1,NeuralNetFastAI,1064,119,5,0.15515594603076457,0.9110238384071304,0.05489501357078552,0.9159663915634155,0.010559219866991043
volcanoes-e1,NeuralNetTorch,1064,119,5,0.16257643016693382,0.38890233894890136,0.04694105684757233,0.9075630307197571,0.010897863656282425
volcanoes-e1,RandomForest,1064,119,5,0.16944785647353502,0.9445141595533032,0.05447696894407272,0.9075630307197571,0.010258574038743973
volcanoes-e1,XGBoost,1064,119,5,0.16236110407553805,0.9198283083781168,0.046914175152778625,0.9075630307197571,0.010099940001964569
volkert,CatBoost,52479,5831,10,0.3919035991051761,0.7962688580204318,0.016527609899640083,0.7072543501853943,0.16578420996665955
volkert,ExtraTrees,52479,5831,10,0.427343865345599,0.8803627724946445,0.02113395184278488,0.6817012429237366,0.15256008133292198
volkert,LightGBM,52479,5831,10,0.3648187071701475,0.7400917173331676,0.01171828806400299,0.7293774485588074,0.163902647793293
volkert,LinearModel,52479,5831,10,0.5433700450248087,1.1595160963000575,0.019420228898525238,0.588921308517456,0.16657241061329842
volkert,NeuralNetFastAI,52479,5831,10,0.35608789107598166,0.721952296174569,0.030155567452311516,0.7430972456932068,0.16413192078471184
volkert,NeuralNetTorch,52479,5831,10,0.38454307840319957,0.7762000382059258,0.020770426839590073,0.7178871631622314,0.16226178407669067
volkert,RandomForest,52479,5831,10,0.427337455861116,0.888030794405659,0.012219791300594807,0.6883896589279175,0.15942325815558434
volkert,XGBoost,52479,5831,10,0.3855224664572064,0.7872541983475825,0.013828713446855545,0.7192591428756714,0.16535655409097672
wall-robot-navigation,CatBoost,4910,546,4,0.006681553271300504,0.1293587180426989,0.004791898187249899,0.9963369965553284,0.011587724089622498
wall-robot-navigation,ExtraTrees,4910,546,4,0.024955929776236833,0.04263845506580943,0.010883258655667305,0.9871794581413269,0.010954771190881729
