dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
connect-4,NeuralNetTorch,60801,6756,3,0.17517180401642385,0.3135352448624619,0.024607833474874496,0.8795145153999329,22.18687815312296
connect-4,RandomForest,60801,6756,3,0.26010179080292656,0.46842097212354783,0.010104579851031303,0.818087637424469,16.138186900876462
connect-4,XGBoost,60801,6756,3,0.1768806922579556,0.3161251648426128,0.011560659855604172,0.8725576996803284,13.557099076919258
dilbert,CatBoost,9000,1000,5,0.022650883144358022,0.04403777098883595,0.005427332129329443,0.9860000014305115,4.252350064925849
dilbert,ExtraTrees,9000,1000,5,0.03390630362857729,0.06908866569137959,0.008444895967841148,0.9769999980926514,6.563170961104333
dilbert,LightGBM,9000,1000,5,0.010946623722581388,0.024948595580225358,0.004453545901924372,0.9929999709129333,3.2049894658848643
dilbert,LinearModel,9000,1000,5,0.09022865082049347,0.1647414061413636,0.020560670644044876,0.9390000104904175,5.237704359926283
dilbert,NeuralNetFastAI,9000,1000,5,0.01896743014717479,0.03689763180114937,0.00798531249165535,0.9860000014305115,5.157705971039832
dilbert,NeuralNetTorch,9000,1000,5,0.013752035438535481,0.02993902599677201,0.013535505160689354,0.9909999966621399,3.818506982177496
dilbert,RandomForest,9000,1000,5,0.05482105041354621,0.10863093076851923,0.008058086968958378,0.9649999737739563,5.907013705931604
dilbert,XGBoost,9000,1000,5,0.017962515797064756,0.038343916987905506,0.004974094219505787,0.9879999756813049,4.183714701794088
dna,CatBoost,2867,319,3,0.06470301503491063,0.12511985044705126,0.020923344418406487,0.9592476487159729,1.2511582029983401
dna,ExtraTrees,2867,319,3,0.07562855163371289,0.15444750081852893,0.0375424362719059,0.962382435798645,1.5129628209397197
dna,LightGBM,2867,319,3,0.07274516029907606,0.14018680966512392,0.017890017479658127,0.9529780745506287,1.6612501200288534
dna,LinearModel,2867,319,3,0.12339259015005662,0.2351138471005412,0.033515769988298416,0.92476487159729,1.0136258257552981
dna,NeuralNetFastAI,2867,319,3,0.08035859904794342,0.15807122355921815,0.0309448204934597,0.9404388666152954,1.1294869757257402
dna,NeuralNetTorch,2867,319,3,0.0850362534226646,0.1617843241115839,0.02443830668926239,0.9435736536979675,1.08522177208215
dna,RandomForest,2867,319,3,0.0891762924119897,0.16657468333215691,0.025142261758446693,0.9404388666152954,1.176748643629253
dna,XGBoost,2867,319,3,0.06849511147042636,0.1352949472129433,0.020499123260378838,0.9561128616333008,1.4849592568352818
eucalyptus,CatBoost,662,74,5,0.43688711160353205,0.7277319981202541,0.09592611342668533,0.6891891956329346,1.0393312890082598
eucalyptus,ExtraTrees,662,74,5,0.37302471094560624,0.6217428062740492,0.06972061842679977,0.7162162065505981,0.7847149381414056
eucalyptus,LightGBM,662,74,5,0.3717124818549317,0.6314403960693749,0.15180887281894684,0.7432432174682617,0.8887676717713475
eucalyptus,LinearModel,662,74,5,0.44784531675204053,0.7565580264577659,0.17606686055660248,0.6756756901741028,0.8342134011909366
eucalyptus,NeuralNetFastAI,662,74,5,0.4075942091101121,0.6611198861020524,0.09650938212871552,0.6891891956329346,0.9883418818935752
eucalyptus,NeuralNetTorch,662,74,5,0.4157397036799179,0.6653063170270967,0.09932906180620193,0.6486486196517944,1.0081814648583531
eucalyptus,RandomForest,662,74,5,0.3767522824244708,0.6394926072392101,0.1087065041065216,0.7162162065505981,0.7975358930416405
eucalyptus,XGBoost,662,74,5,0.39069003660927654,0.6669066065723901,0.05596350133419037,0.7297297120094299,1.0143439806997776
eye_movements,CatBoost,9842,1094,3,0.35121325816279464,0.5948133421767399,0.029985375702381134,0.7340036630630493,2.67171612707898
eye_movements,ExtraTrees,9842,1094,3,0.3164277578505805,0.5402565516772605,0.02594410628080368,0.7723948955535889,2.5753839258104563
eye_movements,LightGBM,9842,1094,3,0.27795931068792906,0.48347513090254673,0.03848904371261597,0.808043897151947,2.409395594149828
eye_movements,LinearModel,9842,1094,3,0.5640260806800489,0.9184968349380608,0.01699855923652649,0.5127970576286316,2.1628595599904656
eye_movements,NeuralNetFastAI,9842,1094,3,0.4317473706708057,0.7185029072819085,0.04313279315829277,0.67641681432724,2.100636979099363
eye_movements,NeuralNetTorch,9842,1094,3,0.41387333748715915,0.6916228214673575,0.052562497556209564,0.6928701996803284,2.004776827059686
eye_movements,RandomForest,9842,1094,3,0.37801168480185926,0.6400168977233395,0.020228847861289978,0.7230347394943237,2.028040307108313
eye_movements,XGBoost,9842,1094,3,0.3199477304005388,0.5473921590872302,0.029089514166116714,0.7659963369369507,2.522387706208974
fabert,CatBoost,7413,824,7,0.34570279054147246,0.684523619795981,0.04486899450421333,0.7305825352668762,5.960409229621291
fabert,ExtraTrees,7413,824,7,0.3655286596807672,0.7169790338048903,0.04682160168886185,0.7160193920135498,5.718777105212212
fabert,LightGBM,7413,824,7,0.35233727339159565,0.6911481412786226,0.040041495114564896,0.7208737730979919,6.376423715613782
fabert,LinearModel,7413,824,7,0.46798377299641636,0.9569239971182315,0.05811767280101776,0.6322815418243408,5.404295299202204
fabert,NeuralNetFastAI,7413,824,7,0.3827972643034709,0.770691667997436,0.02723551169037819,0.7111650705337524,6.028574264142662
fabert,NeuralNetTorch,7413,824,7,0.4123889654538533,0.8330168409658029,0.06354006379842758,0.7002426981925964,5.844492909964174
fabert,RandomForest,7413,824,7,0.37913954944921596,0.7564032999900031,0.031482599675655365,0.7050970792770386,5.5630515003576875
fabert,XGBoost,7413,824,7,0.3544961861890693,0.7196071443486597,0.03666974976658821,0.731796145439148,5.619812118820846
