dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,RandomForest,1440,160,0.40292172514903835,0.5897302340560333,0.05014907941222191,0.0612109899520874,0.699999988079071,0.06489739194512367
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,XGBoost,1440,160,0.38751452990108126,0.5693367479519758,0.04364583641290665,0.06423749774694443,0.6937500238418579,0.06313510425388813
Internet-Advertisements,CatBoost,2951,328,0.04378263732538185,0.0888678148996473,0.014675766229629517,0.019463257864117622,0.9756097793579102,0.07842404767870903
Internet-Advertisements,ExtraTrees,2951,328,0.029694219863201966,0.0701768696075785,0.008870130404829979,0.0182403065264225,0.9817073345184326,0.0786124411970377
Internet-Advertisements,LightGBM,2951,328,0.04449569558572979,0.08779565302528779,0.011513054370880127,0.023727284744381905,0.9725610017776489,0.07690298929810524
Internet-Advertisements,LinearModel,2951,328,0.061750806487360754,0.13078420283789519,0.01136254332959652,0.029818112030625343,0.9603658318519592,0.08027651347219944
Internet-Advertisements,NeuralNetFastAI,2951,328,0.05283316202677259,0.11278529118751747,0.011415546759963036,0.02412334457039833,0.9664633870124817,0.0795336402952671
Internet-Advertisements,NeuralNetTorch,2951,328,0.05408492368437337,0.12211086625352603,0.012197494506835938,0.03020547144114971,0.9603658318519592,0.07962966337800026
Internet-Advertisements,RandomForest,2951,328,0.03602718897355487,0.07628870368218568,0.009414345026016235,0.016879284754395485,0.9786585569381714,0.07606260664761066
Internet-Advertisements,XGBoost,2951,328,0.04919826197067218,0.09618375162916183,0.011221790686249733,0.01782524771988392,0.9695122241973877,0.07999259978532791
OVA_Colon,CatBoost,1390,155,0.07357612167207653,0.16973995122952024,0.018598191440105438,0.032282304018735886,0.9612902998924255,0.06231031380593777
OVA_Colon,ExtraTrees,1390,155,0.06642692675331653,0.15118708974351078,0.019766677170991898,0.024800052866339684,0.9677419066429138,0.06176558881998062
OVA_Colon,LightGBM,1390,155,0.06430677398465463,0.15492224161713805,0.01870998740196228,0.02824627235531807,0.9677419066429138,0.06257699802517891
OVA_Colon,LinearModel,1390,155,0.06836289560449181,0.16097872927325202,0.0157987829297781,0.0326184518635273,0.9677419066429138,0.059587351977825165
OVA_Colon,NeuralNetFastAI,1390,155,0.08424648628207795,0.18323523890221366,0.026208996772766113,0.04562770575284958,0.9612902998924255,0.062015289440751076
OVA_Colon,NeuralNetTorch,1390,155,0.08514663102570119,0.18732860352588787,0.0288778617978096,0.05293296277523041,0.948387086391449,0.06187945976853371
OVA_Colon,RandomForest,1390,155,0.08462969601041458,0.17543589200804152,0.01957201585173607,0.0390615239739418,0.948387086391449,0.06346683762967587
OVA_Colon,XGBoost,1390,155,0.07045980155443492,0.1710392495493571,0.01900142803788185,0.032693006098270416,0.9612902998924255,0.060811568051576614
OVA_Endometrium,CatBoost,1390,155,0.05386140620818424,0.09758437885047769,0.0207228921353817,0.01907176896929741,0.9741935729980469,0.06336519494652748
OVA_Endometrium,ExtraTrees,1390,155,0.05846068429719314,0.10876848745853872,0.018362589180469513,0.026651566848158836,0.9612902998924255,0.06315784901380539
OVA_Endometrium,LightGBM,1390,155,0.046258985818411834,0.08934915431366931,0.017459170892834663,0.037549279630184174,0.9612902998924255,0.06358451768755913
OVA_Endometrium,LinearModel,1390,155,0.037129103360216485,0.0676829420084233,0.012871623039245605,0.017137715592980385,0.9806451797485352,0.0626126229763031
OVA_Endometrium,NeuralNetFastAI,1390,155,0.04563226497100264,0.08175514938331328,0.013208592310547829,0.0153956338763237,0.9677419066429138,0.06243671104311943
