dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
madeline,NeuralNetTorch,2826,314,0.35723131282627124,0.5381052092518882,0.054969966411590576,0.08356288075447083,0.7611464858055115,0.6185610238462687
madeline,RandomForest,2826,314,0.23134808776607357,0.3820715951966975,0.024524250999093056,0.05837578698992729,0.8503184914588928,0.691337775439024
madeline,XGBoost,2826,314,0.21825584398025966,0.3616281985757788,0.026248831301927567,0.04511324688792229,0.8662420511245728,0.7220227252691984
madelon,CatBoost,2340,260,0.1906559167939428,0.3206873977997495,0.02823270484805107,0.07417767494916916,0.8615384697914124,0.7477266360074282
madelon,ExtraTrees,2340,260,0.207129922847093,0.3454402102376934,0.028215955942869186,0.04905596747994423,0.8692307472229004,0.7049850057810545
madelon,LightGBM,2340,260,0.1894848426746167,0.32524149915140177,0.04463580250740051,0.09082835912704468,0.8846153616905212,0.7049709260463715
madelon,LinearModel,2340,260,0.48913171463767735,0.682242292486615,0.04154913127422333,0.02567979134619236,0.5846154093742371,0.4843058381229639
madelon,NeuralNetFastAI,2340,260,0.3994130010185719,0.5875391096162466,0.07434781640768051,0.12709632515907288,0.7346153855323792,0.7257128562778234
madelon,NeuralNetTorch,2340,260,0.429259156006203,0.6196627970127165,0.07511606812477112,0.13432733714580536,0.6807692050933838,0.6774161113426089
madelon,RandomForest,2340,260,0.21471091499247924,0.3542011376820587,0.026056569069623947,0.07746419310569763,0.8500000238418579,0.8653442673385143
madelon,XGBoost,2340,260,0.19701644467956478,0.3323522999084218,0.025705810636281967,0.057854052633047104,0.8807692527770996,0.6470997137948871
mammography,CatBoost,10064,1119,0.021188629741480742,0.048912730491557116,0.002485918812453747,0.003281500656157732,0.9874888062477112,1.3969935989007354
mammography,ExtraTrees,10064,1119,0.02640903932867294,0.05851813595152916,0.006526080891489983,0.009479498490691185,0.9857015013694763,1.82773725874722
mammography,LightGBM,10064,1119,0.022618060438067834,0.049436803117538244,0.004238498397171497,0.008110216818749905,0.9865951538085938,1.4649704620242119
mammography,LinearModel,10064,1119,0.030690190225954695,0.07005881834796276,0.006953839678317308,0.01265702024102211,0.9812332391738892,1.2149343090131879
mammography,NeuralNetFastAI,10064,1119,0.024964689174471654,0.054462664333655014,0.004528529942035675,0.010522328317165375,0.9839141964912415,1.498532117344439
mammography,NeuralNetTorch,10064,1119,0.024988844614662335,0.054610688729807344,0.003221975639462471,0.0074365283362567425,0.9848078489303589,1.529826169833541
mammography,RandomForest,10064,1119,0.027326306607038248,0.05918327232862191,0.006022527348250151,0.009274826385080814,0.9848078489303589,1.3973463093861938
mammography,XGBoost,10064,1119,0.023279922657414187,0.05091667524145757,0.004877079278230667,0.008194697089493275,0.9865951538085938,1.398934525437653
mc1,CatBoost,8519,947,0.008437094552747921,0.016762579622399142,0.0027378499507904053,0.003958602901548147,0.9947201609611511,1.3301853956654668
mc1,ExtraTrees,8519,947,0.007946674592079065,0.01778317953935317,0.0026388713158667088,0.0022952668368816376,0.9957761168479919,1.2929587056860328
mc1,LightGBM,8519,947,0.006853232815398266,0.01369496648711647,0.0020521418191492558,0.0036133902613073587,0.9947201609611511,1.292480587027967
mc1,LinearModel,8519,947,0.011502753002047896,0.02925783500449966,0.004243186675012112,0.0021391822956502438,0.9926082491874695,1.778410004451871
mc1,NeuralNetFastAI,8519,947,0.011167924699213135,0.029052520298928852,0.003348636208102107,0.0022022719494998455,0.9936642050743103,1.9059182051569223
mc1,NeuralNetTorch,8519,947,0.012645085534594215,0.03120444569328066,0.004341202788054943,0.004113225731998682,0.9926082491874695,1.6497888704761863
mc1,RandomForest,8519,947,0.010237844335801717,0.021821893623296,0.0031151622533798218,0.0021219614427536726,0.9947201609611511,1.4339911555871367
mc1,XGBoost,8519,947,0.008346665278912925,0.01547577264063693,0.0017460300587117672,0.0039491248317062855,0.9947201609611511,1.300897908397019
meta,CatBoost,475,53,0.08361131690406688,0.13849778544714172,0.043081872165203094,0.05578967556357384,0.9433962106704712,0.49464445002377033
meta,ExtraTrees,475,53,0.1495352064171019,0.23736978748092316,0.04703490808606148,0.12340547889471054,0.9056603908538818,0.464454541914165
meta,LightGBM,475,53,0.10496596166774656,0.16935311498004105,0.04588618874549866,0.10089335590600967,0.9433962106704712,0.3922077398747206
meta,LinearModel,475,53,0.1106283699408195,0.1755509523205143,0.0541054829955101,0.0768459141254425,0.9056603908538818,0.5229582898318768
meta,NeuralNetFastAI,475,53,0.1180359068391151,0.20212560944079935,0.07295413315296173,0.11240848898887634,0.9245283007621765,0.454402812756598
meta,NeuralNetTorch,475,53,0.0828313382952363,0.15021111156748757,0.04685187339782715,0.07564609497785568,0.9622641801834106,0.41059101466089487
meta,RandomForest,475,53,0.12711398241774946,0.2099106263842704,0.05358751863241196,0.10444843769073486,0.9245283007621765,0.46427379734814167
meta,XGBoost,475,53,0.10349932155747929,0.16235560479889746,0.0394931435585022,0.07330027222633362,0.9245283007621765,0.5848954962566495
mozilla4,CatBoost,13990,1555,0.06766247394836852,0.12088643916315735,0.008393004536628723,0.01519639603793621,0.9569131731987,2.9785143565386534
mozilla4,ExtraTrees,13990,1555,0.06865497740900608,0.12183475795783748,0.006017282605171204,0.010014386847615242,0.9549839496612549,3.6838249461725354
mozilla4,LightGBM,13990,1555,0.06593385485074932,0.11824947669228529,0.009234707802534103,0.018203232437372208,0.9536977410316467,3.9649668354541063
mozilla4,LinearModel,13990,1555,0.11155523473345343,0.19614157837926816,0.008322097361087799,0.015256163664162159,0.9337620735168457,4.061684753745794
mozilla4,NeuralNetFastAI,13990,1555,0.11450699018068312,0.20525423377933158,0.008954117074608803,0.014525973238050938,0.9254019260406494,3.8352146353572607
mozilla4,NeuralNetTorch,13990,1555,0.0912388961787477,0.1593029883773947,0.01216944307088852,0.021565010771155357,0.9382636547088623,3.5978818172588944
mozilla4,RandomForest,13990,1555,0.0690132889548596,0.11837209982907289,0.0062011536210775375,0.014906607568264008,0.9517685174942017,3.726755897514522
mozilla4,XGBoost,13990,1555,0.06782255976798202,0.12122683940660095,0.009039469063282013,0.019151924178004265,0.953054666519165,4.64131645578891
no2,CatBoost,450,50,0.43105294900848706,0.6207683389088533,0.054698482155799866,0.11812367290258408,0.6399999856948853,0.47080365009605885
no2,ExtraTrees,450,50,0.4233165981676064,0.6122033399540675,0.06309232115745544,0.14431972801685333,0.6200000047683716,0.44949773140251637
no2,LightGBM,450,50,0.4562211627573064,0.6474698516393722,0.07901162654161453,0.08851387351751328,0.6200000047683716,0.3511557523161173
no2,LinearModel,450,50,0.49569786733973886,0.6889557495866961,0.12729382514953613,0.15982449054718018,0.47999998927116394,0.29223656188696623
no2,NeuralNetFastAI,450,50,0.43878507584527227,0.6283251199148371,0.07997401058673859,0.17870944738388062,0.5600000023841858,0.36598750203847885
no2,NeuralNetTorch,450,50,0.438622917898866,0.6293777143846041,0.04476935416460037,0.0757225900888443,0.6399999856948853,0.35552566032856703
no2,RandomForest,450,50,0.4363882318744341,0.6255607299785635,0.06939834356307983,0.1722487062215805,0.6200000047683716,0.40935636311769485
no2,XGBoost,450,50,0.4434023883569152,0.6332511084722552,0.05441126227378845,0.039170436561107635,0.6200000047683716,0.32029492780566216
nomao,CatBoost,31018,3447,0.038148164223052124,0.0674384897857529,0.002594505436718464,0.005896241404116154,0.9747606515884399,7.175546976737678
nomao,ExtraTrees,31018,3447,0.050253537029247404,0.09217465745230723,0.004156435374170542,0.009564842097461224,0.9672178626060486,6.816583808511496
nomao,LightGBM,31018,3447,0.037881634903762534,0.06761731124648596,0.0026456075720489025,0.005992554593831301,0.9747606515884399,7.681085987947881
nomao,LinearModel,31018,3447,0.07346117857164103,0.1253561032917974,0.004992336500436068,0.00772060826420784,0.9495213031768799,7.1106174709275365
nomao,NeuralNetFastAI,31018,3447,0.052319484685055775,0.09237791469784838,0.004408128559589386,0.009496331214904785,0.9663475751876831,7.418835482560098
nomao,NeuralNetTorch,31018,3447,0.052312511383301334,0.09151187268618545,0.003997041843831539,0.008238554000854492,0.964026689529419,9.063426998443902
nomao,RandomForest,31018,3447,0.04694630446989697,0.08691255012166293,0.00305880606174469,0.007150082383304834,0.9698288440704346,6.00103557202965
nomao,XGBoost,31018,3447,0.038133700885143784,0.0676175072157445,0.003687439486384392,0.008166256360709667,0.9767914414405823,8.66212883591652
numerai28_6,CatBoost,86688,9632,0.4990561707140041,0.6922020669570029,0.006925866007804871,0.0009935885900631547,0.5136004686355591,8.346557551063597
numerai28_6,ExtraTrees,86688,9632,0.49902943816419815,0.6921754727610409,0.00464300811290741,0.0020052334293723106,0.5169227719306946,7.44062077626586
numerai28_6,LightGBM,86688,9632,0.49902581157302445,0.692170889062701,0.007959812879562378,0.0019700517877936363,0.5131852030754089,8.617580519989133
numerai28_6,LinearModel,86688,9632,0.4989670325238542,0.6921130970973336,0.0037181712687015533,0.0022762147709727287,0.5183762311935425,8.569041333161294
