dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
fri_c3_500_50,NeuralNetFastAI,450,50,0.4273011946525753,0.6127920378096058,0.08153426647186279,0.22673936188220978,0.6600000262260437,0.002611342817544937
fri_c3_500_50,NeuralNetTorch,450,50,0.40833702504262215,0.5959777234706334,0.08379969000816345,0.12065692245960236,0.6800000071525574,0.0026313327252864838
fri_c3_500_50,RandomForest,450,50,0.19110354204699995,0.30287836408424246,0.03882652893662453,0.11763551086187363,0.8799999952316284,0.002869497984647751
fri_c3_500_50,XGBoost,450,50,0.1728217957076683,0.2963818898174402,0.04506707563996315,0.10626362264156342,0.8799999952316284,0.0022103339433670044
fri_c4_500_100,CatBoost,450,50,0.16401990212965548,0.24595302690851908,0.05443549156188965,0.12641511857509613,0.8999999761581421,0.002647746354341507
fri_c4_500_100,ExtraTrees,450,50,0.15449176390582775,0.23430840148921553,0.05782328546047211,0.09412971884012222,0.8399999737739563,0.004723936319351196
fri_c4_500_100,LightGBM,450,50,0.15077681265674014,0.2385898648627917,0.04911206290125847,0.11182218044996262,0.8999999761581421,0.002796746790409088
fri_c4_500_100,LinearModel,450,50,0.44694714651084394,0.6357300674398886,0.07814090698957443,0.14358490705490112,0.6000000238418579,0.0043112412095069885
fri_c4_500_100,NeuralNetFastAI,450,50,0.4512245586184057,0.6419150480931196,0.09328268468379974,0.08572869747877121,0.6399999856948853,0.0025028400123119354
fri_c4_500_100,NeuralNetTorch,450,50,0.4484977568847955,0.6403619398827378,0.10853040218353271,0.1396530717611313,0.699999988079071,0.0027945712208747864
fri_c4_500_100,RandomForest,450,50,0.17239937027736288,0.26349070779818357,0.04355262964963913,0.13863463699817657,0.8799999952316284,0.0029007382690906525
