dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
fri_c2_1000_25,XGBoost,900,100,0.1435968010081857,0.24308547607086184,0.033925384283065796,0.06870891153812408,0.8899999856948853,0.2983264736831188
fri_c2_500_50,CatBoost,450,50,0.18258569960915247,0.29711524326144334,0.0518159382045269,0.16718506813049316,0.8199999928474426,0.14059658255428076
fri_c2_500_50,ExtraTrees,450,50,0.20813818197075956,0.3245035521898959,0.04603930935263634,0.13063642382621765,0.8399999737739563,0.13107333332300186
fri_c2_500_50,LightGBM,450,50,0.18602182712306053,0.29602377773974625,0.060660358518362045,0.1369747519493103,0.8799999952316284,0.2049252549186349
fri_c2_500_50,LinearModel,450,50,0.3863432015025745,0.562819895801725,0.07187202572822571,0.1841825544834137,0.699999988079071,0.1755005456507206
fri_c2_500_50,NeuralNetFastAI,450,50,0.19342409639911576,0.33870545416555353,0.06167115271091461,0.1261635273694992,0.9200000166893005,0.20300754066556692
fri_c2_500_50,NeuralNetTorch,450,50,0.2629962192298973,0.41829295763295443,0.06231508404016495,0.15887120366096497,0.8199999928474426,0.29673004895448685
fri_c2_500_50,RandomForest,450,50,0.22044268623236982,0.3412904711612381,0.05481806769967079,0.10557521879673004,0.8199999928474426,0.15327602718025446
fri_c2_500_50,XGBoost,450,50,0.22767171686012525,0.35437928845613487,0.056749094277620316,0.12230981141328812,0.8399999737739563,0.22868935205042362
fri_c3_1000_10,CatBoost,900,100,0.10503088250256122,0.17843968574761818,0.025370921939611435,0.06798986345529556,0.9300000071525574,0.22843664791435003
fri_c3_1000_10,ExtraTrees,900,100,0.09610001588163816,0.17835670795910233,0.02138429321348667,0.06498510390520096,0.949999988079071,0.2067202003672719
fri_c3_1000_10,LightGBM,900,100,0.11165013158504798,0.1846858070858715,0.02188096195459366,0.05527135729789734,0.9300000071525574,0.2731746658682823
fri_c3_1000_10,LinearModel,900,100,0.38744251288199083,0.5689628988624443,0.04806216061115265,0.11027515679597855,0.7099999785423279,0.15780817437916994
fri_c3_1000_10,NeuralNetFastAI,900,100,0.0837215778392013,0.1501184945736092,0.03478728234767914,0.06482400745153427,0.949999988079071,0.27037685737013817
fri_c3_1000_10,NeuralNetTorch,900,100,0.09300343959288629,0.1976010324845808,0.02910551056265831,0.06679410487413406,0.949999988079071,0.22995755542069674
fri_c3_1000_10,RandomForest,900,100,0.1140777541011159,0.20117904205866843,0.022682074457406998,0.06383847445249557,0.9300000071525574,0.2497784849256277
fri_c3_1000_10,XGBoost,900,100,0.10451243103648926,0.1856657720722477,0.0320441871881485,0.07348976284265518,0.949999988079071,0.23461559880524874
fri_c3_1000_25,CatBoost,900,100,0.11048743434424621,0.16623309095877936,0.027904223650693893,0.06268030405044556,0.9100000262260437,0.36333687137812376
fri_c3_1000_25,ExtraTrees,900,100,0.10133978865005128,0.15963611799611357,0.02298056334257126,0.06769739091396332,0.9200000166893005,0.27240092400461435
fri_c3_1000_25,LightGBM,900,100,0.08086626109485426,0.13680123243582115,0.02370726503431797,0.07024096697568893,0.9599999785423279,0.2823781771585345
fri_c3_1000_25,LinearModel,900,100,0.4310877149956085,0.6146136061744809,0.04315309599041939,0.04370370879769325,0.6399999856948853,0.1773562878370285
fri_c3_1000_25,NeuralNetFastAI,900,100,0.08336006248173625,0.14557498682311518,0.03405056893825531,0.06575120240449905,0.949999988079071,0.19176751002669334
fri_c3_1000_25,NeuralNetTorch,900,100,0.08083077574679447,0.16144413012875858,0.036368899047374725,0.08553295582532883,0.9599999785423279,0.17026155721396208
fri_c3_1000_25,RandomForest,900,100,0.13659384861313228,0.2114042582726745,0.03011699765920639,0.08877244591712952,0.9100000262260437,0.30608231108635664
fri_c3_1000_25,XGBoost,900,100,0.10059746313665802,0.17297987839032747,0.026702458038926125,0.07906801998615265,0.9300000071525574,0.23548578843474388
fri_c3_500_10,CatBoost,450,50,0.19884170358644127,0.35927658845508176,0.05862729251384735,0.1096402108669281,0.8600000143051147,0.19369658268988132
fri_c3_500_10,ExtraTrees,450,50,0.23726739964181692,0.39363712567655584,0.07591467350721359,0.11905596405267715,0.8600000143051147,0.1025947080925107
