dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.30472818064973645,0.4574704600865189,0.04259772598743439,0.10383789986371994,0.7562500238418579,0.006669713067822158
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.3984740389592055,0.59048008596194,0.04611782729625702,0.11844826489686966,0.699999988079071,0.011419641086831689
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.33965173782595587,0.5064318698626774,0.06504800170660019,0.1527392715215683,0.731249988079071,0.005612384993582964
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.5,0.6931471805599453,0.25,0.0,0.5,0.013486525975167751
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2855450068581633,0.434931510605354,0.037356987595558167,0.024990033358335495,0.793749988079071,0.005670059006661177
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.30253228173030733,0.4630850074736025,0.042604103684425354,0.09673699736595154,0.7875000238418579,0.015700443065725267
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.39523355248095454,0.5862298061023911,0.04331699758768082,0.09739601612091064,0.699999988079071,0.010599836008623242
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,XGBoost,1440,160,0.354481548371436,0.528329297826814,0.061515502631664276,0.14502327144145966,0.731249988079071,0.005931242019869387
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,CatBoost,1440,160,0.40506878228141885,0.5847591489605972,0.05637684464454651,0.12802201509475708,0.643750011920929,0.00630135799292475
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,ExtraTrees,1440,160,0.487629275670456,0.6807331188246774,0.032203614711761475,0.04817938059568405,0.5562499761581421,0.02106284094043076
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LightGBM,1440,160,0.4856238882088665,0.6785653712085115,0.04383118450641632,0.03538643941283226,0.574999988079071,0.01070545194670558
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,LinearModel,1440,160,0.49951118742140554,0.6926591107200549,0.038806185126304626,0.01415692362934351,0.512499988079071,0.022025741985999048
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetFastAI,1440,160,0.3955758079495092,0.5661231079596648,0.04719942808151245,0.08451952040195465,0.65625,0.007796752033755183
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,NeuralNetTorch,1440,160,0.42560118897164034,0.6131022936320345,0.04464917629957199,0.08874742686748505,0.6312500238418579,0.01800779195036739
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,RandomForest,1440,160,0.49218767150918,0.6851129537688596,0.04829341173171997,0.10172097384929657,0.543749988079071,0.020221112063154578
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,XGBoost,1440,160,0.48830058907223,0.6812556793494793,0.056848376989364624,0.08308309316635132,0.5687500238418579,0.01484195003286004
