dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
gina,LinearModel,2837,316,0.23639847338199615,0.38111427426338196,0.05749731883406639,0.11266019940376282,0.8481012582778931,0.010221641045063734
gina,NeuralNetFastAI,2837,316,0.0645284578204155,0.12424369901418686,0.04225523769855499,0.06816470623016357,0.9683544039726257,0.010510827996768057
gina,NeuralNetTorch,2837,316,0.05806198716163635,0.11319703608751297,0.03256327658891678,0.05484245344996452,0.9778481125831604,0.010247846017591655
gina,RandomForest,2837,316,0.09143128991127014,0.15640030801296234,0.012003716081380844,0.03174396976828575,0.9430379867553711,0.010297361994162202
gina,XGBoost,2837,316,0.06807491183280945,0.11767254769802094,0.009625313803553581,0.024824295192956924,0.9556962251663208,0.009847971028648317
hill-valley,CatBoost,1090,122,0.48015838861465454,0.6729966402053833,0.0522790402173996,0.0776636153459549,0.5819672346115112,0.0053821110632270575
hill-valley,ExtraTrees,1090,122,0.4669119417667389,0.6592284440994263,0.04285331815481186,0.08265127241611481,0.5819672346115112,0.00563370599411428
hill-valley,LightGBM,1090,122,0.4516497552394867,0.6430394053459167,0.046340979635715485,0.08981452882289886,0.6065573692321777,0.0057317729806527495
hill-valley,LinearModel,1090,122,0.16769741475582123,0.321576863527298,0.09001773595809937,0.13315095007419586,0.9098360538482666,0.0056094699539244175
hill-valley,NeuralNetFastAI,1090,122,0.285934180021286,0.43026062846183777,0.15092572569847107,0.15922518074512482,0.9098360538482666,0.005782770924270153
hill-valley,NeuralNetTorch,1090,122,0.12958095967769623,0.21600468456745148,0.032072074711322784,0.06731747090816498,0.9098360538482666,0.005860681994818151
hill-valley,RandomForest,1090,122,0.4685641825199127,0.6608374118804932,0.056534722447395325,0.07492466270923615,0.631147563457489,0.005696356995031238
hill-valley,XGBoost,1090,122,0.4761112928390503,0.668822169303894,0.03543845936655998,0.03633132949471474,0.5983606576919556,0.005344945937395096
hiva_agnostic,CatBoost,3806,423,0.060602810233831406,0.13219323754310608,0.00971115380525589,0.01872493512928486,0.9669030904769897,0.012265621917322278
hiva_agnostic,ExtraTrees,3806,423,0.06180248036980629,0.13943599164485931,0.011368576437234879,0.015205306932330132,0.9669030904769897,0.01324232795741409
hiva_agnostic,LightGBM,3806,423,0.06276732683181763,0.1371326744556427,0.010220744647085667,0.018199458718299866,0.9669030904769897,0.01279515796341002
hiva_agnostic,LinearModel,3806,423,0.08690249919891357,0.18373166024684906,0.06311924755573273,0.05463341251015663,0.9503546357154846,0.013032043003477156
hiva_agnostic,NeuralNetFastAI,3806,423,0.07364323735237122,0.1534103900194168,0.03504548966884613,0.029043324291706085,0.9503546357154846,0.012279388960450888
hiva_agnostic,NeuralNetTorch,3806,423,0.07318143546581268,0.15362152457237244,0.029421711340546608,0.03157834708690643,0.9550827145576477,0.012622763053514063
hiva_agnostic,RandomForest,3806,423,0.06174483150243759,0.13539287447929382,0.009859170764684677,0.014746501110494137,0.9669030904769897,0.013196893036365509
hiva_agnostic,XGBoost,3806,423,0.06043488532304764,0.13182388246059418,0.010325525887310505,0.019090119749307632,0.9692671298980713,0.012865422992035747
