dataset,model,cal_size,test_size,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_kuiper,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
APSFailure,ModernNCA_GPU,50666,25334,0.00935077079890936,0.020176368333877457,0.002034344244748354,0.0025143565144389868,0.9940791130065918,0.00302811898291111
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08185477708539574,0.15991610647851456,0.01986318826675415,0.009455504827201366,0.9488235712051392,0.001285947859287262
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19998589387126256,0.33084550507366317,0.02195437252521515,0.016768310219049454,0.8680263757705688,0.0005671922117471695
Bioresponse,ModernNCA_GPU,2500,1251,0.2925709250929872,0.45834861369715396,0.02558910846710205,0.04860437288880348,0.7937650084495544,0.0003902129828929901
Diabetes130US,ModernNCA_GPU,47678,23840,0.1553778859248737,0.28508953357914885,0.03973068296909332,0.004693447612226009,0.9119966626167297,0.0022510699927806854
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.35624476574744557,0.5020707369090057,0.12309852242469788,0.008201157674193382,0.6861194372177124,0.0006035212427377701
Fitness_Club,ModernNCA_GPU,1000,500,0.32537720744105814,0.4968367829136002,0.032765891402959824,0.04489907622337341,0.7599999904632568,0.0003048330545425415
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09837433927548336,0.18521813807306095,0.019992569461464882,0.0026593441143631935,0.9387400150299072,0.004684988409280777
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.26995170981062283,0.4251366479295889,0.0328620970249176,0.015563711524009705,0.8033197522163391,0.0009397845715284348
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19985253264748493,0.34917374193413087,0.04041258245706558,0.04332900047302246,0.8852173686027527,0.00031484663486480713
Marketing_Campaign,ModernNCA_GPU,1493,747,0.13999137627786618,0.2292818382541456,0.019346415996551514,0.02684905007481575,0.9022757411003113,0.0003146175295114517
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08714494638753953,0.1531344054288653,0.010213296860456467,0.012658159248530865,0.9403284192085266,0.00048744864761829376
bank-marketing,ModernNCA_GPU,30140,15071,0.17352333198791217,0.3040959193592483,0.03885739669203758,0.005550961010158062,0.8937695026397705,0.0016177110373973846
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.31762593296625924,0.5054048043011953,0.0650915801525116,0.06223778799176216,0.7960000038146973,0.00027531757950782776
churn,ModernNCA_GPU,3333,1667,0.06365522363177435,0.12951611891286716,0.010412377305328846,0.010886161588132381,0.9610077738761902,0.000396164134144783
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10735675950383515,0.20993562362881524,0.028559397906064987,0.004076405894011259,0.9404398202896118,0.0005338266491889954
credit-g,ModernNCA_GPU,666,334,0.3531118569586492,0.5416081538073526,0.049163274466991425,0.06897558271884918,0.7514970302581787,0.0002630464732646942
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.26496888704935356,0.4235469640225596,0.03706516698002815,0.006589474622160196,0.8235999941825867,0.0011833719909191132
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.0555490857407345,0.09763800476926768,0.002547612413764,0.002282680943608284,0.9611262679100037,0.003993591293692589
