dataset,model,cal_size,test_size,Base-model_brier,Base-model_logloss,Base-model_kuiper,Base-model_ece-15,Base-model_accuracy,Base-model_time
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.3552209734916687,0.49653321504592896,0.016767606139183044,0.01726333424448967,0.6855740547180176,0
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3259488046169281,0.5049771666526794,0.05858201906085014,0.09029562771320343,0.7760000228881836,0
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.0970853790640831,0.17543835937976837,0.0038029924035072327,0.00422627292573452,0.9386600255966187,0
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.27273666858673096,0.4395869970321655,0.04094380885362625,0.050785131752491,0.8048856854438782,0
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.19862480461597443,0.3606998324394226,0.050415460020303726,0.05954185500741005,0.8782608509063721,0
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1334884911775589,0.211355060338974,0.02195189706981182,0.02921249158680439,0.9022757411003113,0
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08454533666372299,0.14399661123752594,0.00903017446398735,0.01319254282861948,0.9411293268203735,0
bank-marketing,RealTabPFN-v2.5,30140,15071,0.23085202276706696,0.3835430145263672,0.13160665333271027,0.13153913617134094,0.85103839635849,0
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.3408496677875519,1.0003142356872559,0.15626700222492218,0.1660127341747284,0.800000011920929,0
churn,RealTabPFN-v2.5,3333,1667,0.05189527943730354,0.12119978666305542,0.02929818257689476,0.03680834546685219,0.9682063460350037,0
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.11772990226745605,0.5940243601799011,0.05792412534356117,0.05878911167383194,0.9407452940940857,0
credit-g,RealTabPFN-v2.5,666,334,0.32905811071395874,0.497664213180542,0.0251920148730278,0.05773630365729332,0.7514970302581787,0
