dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.02480987258669258,0.052226509132706066,0.004361901432275772,0.00582890585064888,0.9857867956161499,0.005384031683206558
qsar-biodeg,TabPFN-v2.6,702,352,0.18683648534365602,0.3172494699386639,0.03506182134151459,0.042193733155727386,0.8806818127632141,0.00332636758685112
seismic-bumps,TabPFN-v2.6,1722,862,0.1107350528433915,0.20434438936809388,0.010612260550260544,0.01253876369446516,0.9338747262954712,0.0036552660167217255
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04309808436466992,0.07759194528066514,0.004418893717229366,0.008881730027496815,0.9722833037376404,0.005661860108375549
APSFailure,TabICLv2,50666,25334,0.00790324904203361,0.01439773141144846,0.000595014775171876,0.0009346801089122891,0.9948290586471558,0.02737356722354889
Amazon_employee_access,TabICLv2,21846,10923,0.08108971797189822,0.1558959615103005,0.0030318573117256165,0.004394860006868839,0.9487320184707642,0.015167534351348877
Bank_Customer_Churn,TabICLv2,6666,3334,0.19654978442605858,0.3215891088288312,0.010584407486021519,0.026590535417199135,0.8680263757705688,0.0065604038536548615
Bioresponse,TabICLv2,2500,1251,0.2906090390777463,0.44953527615520567,0.030333973467350006,0.04925796017050743,0.7969624400138855,0.003902379423379898
Diabetes130US,TabICLv2,47678,23840,0.15400152867501413,0.28094885102941825,0.0027177445590496063,0.0054183173924684525,0.911912739276886,0.03770732507109642
E-CommereShippingData,TabICLv2,7332,3667,0.353965260561504,0.49465081164224706,0.009255453944206238,0.0051123532466590405,0.6880283355712891,0.006254568696022034
Fitness_Club,TabICLv2,1000,500,0.3129800482744126,0.4752106968164851,0.020921312272548676,0.05219925194978714,0.7760000228881836,0.0034673362970352173
GiveMeSomeCredit,TabICLv2,100000,50000,0.09738256410368909,0.17551481735896377,0.0009521283209323883,0.002099383855238557,0.9376199841499329,0.0483224019408226
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2676286069900547,0.42216102955477086,0.008648216724395752,0.014652171172201633,0.8058252334594727,0.01187899336218834
