dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
APSFailure,TabPFN-v2.6,50666,25334,0.008484264621367494,0.015660839023427825,0.0005504889995791018,0.0012760501122102141,0.9944343566894531,0.015283293090760708
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08127808080987524,0.17872887589205644,0.0029419995844364166,0.006531397812068462,0.9486404657363892,0.0068804239854216576
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1965685025990394,0.34616678017116304,0.00701441615819931,0.019302448257803917,0.8659268021583557,0.0036016019294038415
Bioresponse,TabPFN-v2.6,2500,1251,0.2713461488370167,0.4194671710917181,0.022741258144378662,0.039116933941841125,0.808952808380127,0.0025593729224056005
Diabetes130US,TabPFN-v2.6,47678,23840,0.15355064117701783,0.2973362171992027,0.003315459471195936,0.003829080844298005,0.9119966626167297,0.013260831008665264
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35550505945689603,0.519154089490706,0.015007391571998596,0.016968870535492897,0.6874829530715942,0.0030323740793392062
Fitness_Club,TabPFN-v2.6,1000,500,0.31448270619605817,0.4812300887501412,0.02518511563539505,0.05704265087842941,0.777999997138977,0.0019990449072793126
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09742430799393469,0.17555007002089212,0.00108351930975914,0.002837230684235692,0.9379199743270874,0.030350349028594792
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26803913461169354,0.4228624129178408,0.008084103465080261,0.00994929764419794,0.8064516186714172,0.00467000191565603
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19408690917554952,0.3260721430503974,0.01676260307431221,0.03582107275724411,0.8765217661857605,0.0019296440295875072
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13096627481973522,0.20858249269059423,0.015568677335977554,0.028076758608222008,0.9062918424606323,0.0020886529237031937
NATICUSdroid,TabPFN-v2.6,4994,2497,0.0832750877248602,0.3049027071498654,0.005432655103504658,0.011967683210968971,0.9443331956863403,0.0030717269983142614
bank-marketing,TabPFN-v2.6,30140,15071,0.17161489543592348,0.3046604815824303,0.003513682633638382,0.006093862000852823,0.8939685225486755,0.008892382960766554
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3108931083944102,0.4968651269658329,0.04924327880144119,0.09174113720655441,0.7879999876022339,0.0016740569844841957
