dataset,model,cal_size,test_size,Spline_brier,Spline_logloss,Spline_kuiper,Spline_ece-15,Spline_accuracy,Spline_time
Amazon_employee_access,TabICLv2,21846,10923,0.08089689532659378,0.1555130051841348,0.0023704655468463898,0.004218100570142269,0.9485489130020142,1.5709806717932224
Bank_Customer_Churn,TabICLv2,6666,3334,0.1966423127141856,0.3223297971612385,0.01009877398610115,0.024718496948480606,0.8677264451980591,0.6933236457407475
Bioresponse,TabICLv2,2500,1251,0.28952958745097257,0.4490823284714914,0.027040351182222366,0.03782554343342781,0.8017585873603821,0.4377894923090935
Diabetes130US,TabICLv2,47678,23840,0.15406017302862549,0.2809821427486596,0.0033293329179286957,0.006751688662916422,0.9121224880218506,2.2245862893760204
E-CommereShippingData,TabICLv2,7332,3667,0.35392097572172404,0.4948600301883776,0.008482128381729126,0.004248205106705427,0.6888464689254761,0.4202534481883049
Fitness_Club,TabICLv2,1000,500,0.3127811492229272,0.4752078179629217,0.01938828080892563,0.05286275967955589,0.777999997138977,0.2034885697066784
GiveMeSomeCredit,TabICLv2,100000,50000,0.09737205058069134,0.17552916302693342,0.0010997876524925232,0.0019970161374658346,0.9376199841499329,6.6323204301297665
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2670476033314018,0.4216601027493786,0.007033996284008026,0.010969627648591995,0.8092702627182007,0.6413936801254749
Is-this-a-good-customer,TabICLv2,1148,575,0.1879321250552533,0.3196284581463053,0.016056999564170837,0.03134259954094887,0.8817391395568848,0.15502497553825378
Marketing_Campaign,TabICLv2,1493,747,0.13512851885070756,0.21455528860709866,0.01778375171124935,0.036901526153087616,0.898259699344635,0.29529542103409767
NATICUSdroid,TabICLv2,4994,2497,0.08013134019609015,0.13706858562518157,0.004393715411424637,0.010674383491277695,0.9455346465110779,0.6626300774514675
bank-marketing,TabICLv2,30140,15071,0.17117090953089545,0.29864362434565245,0.006292073056101799,0.01228330284357071,0.8943003416061401,1.6238627582788467
blood-transfusion-service-center,TabICLv2,498,250,0.2987870634009623,0.4774457925128994,0.0411352813243866,0.08671615272760391,0.8080000281333923,0.15922527760267258
churn,TabICLv2,3333,1667,0.050568155375260486,0.11127861596126416,0.012429937720298767,0.012609321624040604,0.9706058502197266,0.27316537126898766
coil2000_insurance_policies,TabICLv2,6548,3274,0.1054222069164282,0.19981131481374736,0.005354489199817181,0.005897060502320528,0.9404398202896118,0.6164667457342148
credit-g,TabICLv2,666,334,0.33158422899322954,0.5066873511602776,0.03835975006222725,0.06117677316069603,0.7514970302581787,0.09493817016482353
credit_card_clients_default,TabICLv2,20000,10000,0.26181016293131715,0.4185962376712022,0.007817779667675495,0.016592472791671753,0.8228999972343445,0.8589702174067497
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05296893210650637,0.08421555958957466,0.0012204349040985107,0.0035280848387628794,0.9622580409049988,16.179946411401033
diabetes,TabICLv2,512,256,0.3051204461376643,0.46386842889300406,0.025988370180130005,0.09297770261764526,0.7578125,0.17685097828507423
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050264645354139985,0.09486815049436137,0.0053235688246786594,0.017238836735486984,0.9637500047683716,0.37151454016566277
heloc,TabICLv2,6972,3487,0.36248574539932515,0.5418387937516215,0.010010454803705215,0.01843358762562275,0.7324347496032715,0.5949836932122707
