dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.271949279738593,0.4276134800126784,0.009579520672559738,0.015090941451489925,0.8036329746246338,0.18032224848866463
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18876005935750922,0.3211824582031728,0.017171699553728104,0.02521388977766037,0.8834782838821411,0.06039578840136528
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.1354404023652601,0.21877000571883876,0.013448374345898628,0.032520897686481476,0.9022757411003113,0.05939144641160965
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.08566135095409869,0.14754836988043799,0.006052570417523384,0.007479378487914801,0.9427312612533569,0.09937362745404243
bank-marketing,BetaTabPFN_GPU,30140,15071,0.1726335297426819,0.30081185711328595,0.0062080686911940575,0.005884048528969288,0.8932386636734009,0.33214380219578743
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.3092475092513834,0.5050640874751747,0.061097048223018646,0.09547951072454453,0.8119999766349792,0.05021784082055092
churn,BetaTabPFN_GPU,3333,1667,0.0587931616847969,0.12401644482234604,0.008585047908127308,0.015215961262583733,0.9634073376655579,0.08054913952946663
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.10592630165352765,0.20219176486261992,0.005223749205470085,0.00294685922563076,0.9404398202896118,0.12466147914528847
credit-g,BetaTabPFN_GPU,666,334,0.34663402105683533,0.5202563197491686,0.051413461565971375,0.09317120909690857,0.727544903755188,0.052278850227594376
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.26366815399071697,0.4210370950916544,0.01125245913863182,0.009922970086336136,0.822700023651123,0.24124781042337418
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.0709160021797046,0.11613010889990269,0.0031225550919771194,0.0035233437083661556,0.9493694305419922,0.7854115553200245
diabetes,BetaTabPFN_GPU,512,256,0.3140441440476575,0.47523689911853684,0.02177450805902481,0.07654216140508652,0.76953125,0.05045212060213089
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.1246188242146231,0.213960606564135,0.015028484165668488,0.028053278103470802,0.9200000166893005,0.06722451373934746
heloc,BetaTabPFN_GPU,6972,3487,0.3647943239805705,0.5449093303535553,0.015926269814372063,0.024624589830636978,0.7315744161605835,0.1430821381509304
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.3201115167209104,0.48856958075770174,0.010107934474945068,0.021907804533839226,0.7693945169448853,0.15282471105456352
jm1,BetaTabPFN_GPU,7256,3629,0.26858885864952975,0.4255848533141667,0.00908680260181427,0.01909208856523037,0.811793863773346,0.13411233946681023
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.03371894268398159,0.0777521303056558,0.00157968292478472,0.0003932768013328314,0.9821803569793701,0.32981759309768677
