dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
seismic-bumps,Mitra_GPU,1722,862,0.1085762158036232,0.2018379122018814,0.012600713409483433,0.012181734666228294,0.9338747262954712,0.006753459572792053
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.04332390055060387,0.07911940664052963,0.004501591436564922,0.005848332773894072,0.9709634780883789,0.01360657811164856
APSFailure,TabDPT_GPU,50666,25334,0.011454098857939243,0.021443406119942665,0.001870384206995368,0.0014074159553274512,0.9921054840087891,0.12618673592805862
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08137723058462143,0.15675733983516693,0.0029397010803222656,0.006066594738513231,0.9485489130020142,0.05617954209446907
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.19979387521743774,0.32773521542549133,0.010881343856453896,0.019424786791205406,0.8668266534805298,0.019015803933143616
Bioresponse,TabDPT_GPU,2500,1251,0.28047439455986023,0.437171995639801,0.032476313412189484,0.041916780173778534,0.8009592294692993,0.008495163172483444
Diabetes130US,TabDPT_GPU,47678,23840,0.15579362213611603,0.2850576937198639,0.005053659901022911,0.005841218866407871,0.9120385646820068,0.12026557326316833
E-CommereShippingData,TabDPT_GPU,7332,3667,0.35971248149871826,0.5041684508323669,0.025969497859477997,0.029915805906057358,0.6801199913024902,0.020680289715528488
Fitness_Club,TabDPT_GPU,1000,500,0.31479066610336304,0.47917085886001587,0.021009206771850586,0.0560375414788723,0.777999997138977,0.005301564931869507
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09803631901741028,0.17744874954223633,0.0031417645514011383,0.005378648638725281,0.9374200105667114,0.24596143513917923
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2705555558204651,0.42561790347099304,0.015760496258735657,0.020666785538196564,0.7981522083282471,0.033696673810482025
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.18932700157165527,0.32138317823410034,0.013721123337745667,0.019745511934161186,0.886956512928009,0.0051039643585681915
Marketing_Campaign,TabDPT_GPU,1493,747,0.1430910974740982,0.23094052076339722,0.01616913452744484,0.03508877009153366,0.9036144614219666,0.005843941122293472
NATICUSdroid,TabDPT_GPU,4994,2497,0.07889596372842789,0.1361621767282486,0.004788910038769245,0.011859633028507233,0.9471365809440613,0.01432809978723526
bank-marketing,TabDPT_GPU,30140,15071,0.1720135658979416,0.3002300262451172,0.004740952514111996,0.00771096907556057,0.8937695026397705,0.07565300911664963
blood-transfusion-service-center,TabDPT_GPU,498,250,0.30368703603744507,0.4837718605995178,0.04298555105924606,0.07230551540851593,0.7960000038146973,0.0035766176879405975
churn,TabDPT_GPU,3333,1667,0.06799958646297455,0.13934965431690216,0.012260968796908855,0.015616980381309986,0.9604079127311707,0.010800175368785858
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10712528973817825,0.2072557806968689,0.005225219298154116,0.0047393618151545525,0.9407452940940857,0.018441583961248398
credit-g,TabDPT_GPU,666,334,0.3422500789165497,0.5121932625770569,0.027559662237763405,0.07029043138027191,0.727544903755188,0.003940749913454056
credit_card_clients_default,TabDPT_GPU,20000,10000,0.264517605304718,0.422015517950058,0.005563828628510237,0.010813162662088871,0.8206999897956848,0.05146629735827446
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.05481107160449028,0.09013324975967407,0.0033056745305657387,0.006088259629905224,0.9612648487091064,0.20923863723874092
diabetes,TabDPT_GPU,512,256,0.30789247155189514,0.46583476662635803,0.022914845496416092,0.08701866865158081,0.75390625,0.0035143904387950897
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06530717015266418,0.1190040335059166,0.007375083863735199,0.018670350313186646,0.9574999809265137,0.006376132369041443
heloc,TabDPT_GPU,6972,3487,0.36541301012039185,0.5460984110832214,0.01047772541642189,0.017282389104366302,0.7312876582145691,0.018931575119495392
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.3329310417175293,0.5021354556083679,0.015277143567800522,0.0190716739743948,0.7528381943702698,0.023289699107408524
jm1,TabDPT_GPU,7256,3629,0.2543618679046631,0.40450456738471985,0.012679211795330048,0.02033207379281521,0.8236428499221802,0.02017265185713768
kddcup09_appetency,TabDPT_GPU,33333,16667,0.03450550511479378,0.08317270129919052,0.005100644659250975,0.0018291830783709884,0.9821803569793701,0.08293157443404198
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14272725582122803,0.23272716999053955,0.011880576610565186,0.01709889993071556,0.899756669998169,0.022476766258478165
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.03093402273952961,0.06311414390802383,0.006713447161018848,0.010003783740103245,0.9796954393386841,0.011543355882167816
qsar-biodeg,TabDPT_GPU,702,352,0.17609407007694244,0.29919859766960144,0.02373316138982773,0.05897741764783859,0.8835227489471436,0.004029132425785065
seismic-bumps,TabDPT_GPU,1722,862,0.108477383852005,0.2018287628889084,0.00860434677451849,0.012894067913293839,0.9338747262954712,0.006319966167211533
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.04344308003783226,0.08006853610277176,0.0057705482468008995,0.009957053698599339,0.9722833037376404,0.013355560600757599
