dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
churn,TabICL_GPU,3333,1667,0.06766467083148349,0.13821456123360418,0.008542836643755436,0.018329618498682976,0.9604079127311707,0.006993391551077366
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10574731916493202,0.20288419789723922,0.0065208924934268,0.00543938297778368,0.9404398202896118,0.00836673192679882
credit-g,TabICL_GPU,666,334,0.3366562843386309,0.5076675580912858,0.0465615950524807,0.08712808787822723,0.7604790329933167,0.0030077174305915833
credit_card_clients_default,TabICL_GPU,20000,10000,0.26344015442671087,0.42094703824007057,0.005771156400442123,0.012041418813169003,0.8216999769210815,0.020066543482244015
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05711424701507527,0.0913034969534427,0.0017745019868016243,0.002869990421459079,0.9596018195152283,0.09823586139827967
diabetes,TabICL_GPU,512,256,0.3104775138183069,0.467114035179953,0.02114177867770195,0.06370630860328674,0.76171875,0.002888965420424938
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06604158598108563,0.11860683002523689,0.0098397983238101,0.01981024444103241,0.9574999809265137,0.005103422328829765
heloc,TabICL_GPU,6972,3487,0.3650953348900389,0.5454682869283594,0.010548535734415054,0.016934087499976158,0.7301405072212219,0.004779139533638954
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.30728378388273797,0.4720111676229105,0.008888542652130127,0.025727229192852974,0.7786187529563904,0.009056380949914455
jm1,TabICL_GPU,7256,3629,0.2557741140085118,0.40799835555616726,0.00654086098074913,0.011036748997867107,0.8228161931037903,0.007002194412052631
kddcup09_appetency,TabICL_GPU,33333,16667,0.03373215802713503,0.07712193307412696,0.0016470556147396564,0.0013922529760748148,0.9821803569793701,0.03224830701947212
online_shoppers_intention,TabICL_GPU,8220,4110,0.1411640292437611,0.22555503176938477,0.006612819619476795,0.010112755000591278,0.8992700576782227,0.011240562424063683
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04187679710743873,0.08059367891180144,0.005002044141292572,0.011375903151929379,0.9746192693710327,0.0065976837649941444
qsar-biodeg,TabICL_GPU,702,352,0.1756506299247612,0.2986511300416043,0.035419344902038574,0.04432636499404907,0.8778409361839294,0.003559817560017109
seismic-bumps,TabICL_GPU,1722,862,0.111282184844496,0.20535513688503404,0.011267317458987236,0.01402953453361988,0.9338747262954712,0.003901182673871517
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.043945865812680854,0.08042788968683899,0.005310605280101299,0.007666494697332382,0.9718433618545532,0.007029709406197071
Amazon_employee_access,LimiX_GPU,21846,10923,0.08303581400746025,0.1601562555856672,0.003963703289628029,0.0049307458102703094,0.9481827616691589,0.029449855908751488
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19655890169652646,0.3218497111425307,0.008135979995131493,0.019814033061265945,0.8680263757705688,0.010783394798636436
Bioresponse,LimiX_GPU,2500,1251,0.2748785081394316,0.425080544375727,0.024175047874450684,0.03708699345588684,0.8001598715782166,0.004803556948900223
