dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
APSFailure,TabICL_GPU,50666,25334,0.008713992644967774,0.016321707914994567,0.0007185959257185459,0.0016043513314798474,0.9945132732391357,0.2990614250302315
Amazon_employee_access,TabICL_GPU,21846,10923,0.08089233750881428,0.15524072076869078,0.0026207473129034042,0.0061289784498512745,0.9481827616691589,0.126281653996557
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.19960405265457046,0.3267505058402086,0.006868017837405205,0.015338846482336521,0.8650270104408264,0.03839472122490406
Diabetes130US,TabICL_GPU,47678,23840,0.1560539589182998,0.2854145846512861,0.004071202129125595,0.0018452093936502934,0.9119966626167297,0.2750544501468539
E-CommereShippingData,TabICL_GPU,7332,3667,0.3564023392617088,,0.01598154753446579,0.0210432056337595,0.6880283355712891,0.04283918719738722
Fitness_Club,TabICL_GPU,1000,500,0.3135219245825531,0.47715641880954657,0.022378109395503998,0.062000811100006104,0.7839999794960022,0.0066598947159945965
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09778998885989426,0.17619851093096772,0.0010030316188931465,0.002270424971356988,0.9374200105667114,0.5893402141518891
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2684399015341863,0.4232022164517914,0.007103811949491501,0.00934682134538889,0.8047291040420532,0.0746894096955657
Is-this-a-good-customer,TabICL_GPU,1148,575,0.1884494219209903,0.32165855693555256,0.017305027693510056,0.02425878494977951,0.8852173686027527,0.007501875050365925
Marketing_Campaign,TabICL_GPU,1493,747,0.14149735638965635,0.2248663958764847,0.014759665355086327,0.035402264446020126,0.8995984196662903,0.009456968866288662
NATICUSdroid,TabICL_GPU,4994,2497,0.0789574383267083,,0.0032504014670848846,0.010525099001824856,0.9467360973358154,0.029435230884701014
bank-marketing,TabICL_GPU,30140,15071,0.17217959633055652,0.29993793796035745,0.004017550498247147,0.008957559242844582,0.8931059837341309,0.17795174987986684
blood-transfusion-service-center,TabICL_GPU,498,250,0.3081856692808879,,0.044839516282081604,0.05924951657652855,0.8119999766349792,0.003750958014279604
churn,TabICL_GPU,3333,1667,0.06677746820949537,,0.0073924376629292965,0.013671709224581718,0.9598080515861511,0.01980768283829093
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10580061525491057,0.20348213059695086,0.0070900870487093925,0.0043282173573970795,0.9404398202896118,0.039160685148090124
credit-g,TabICL_GPU,666,334,0.3352854505820436,,0.046690527349710464,0.08844421058893204,0.742514967918396,0.004544658120721579
credit_card_clients_default,TabICL_GPU,20000,10000,0.2634782961060858,0.4210617884459275,0.006078449077904224,0.013415414839982986,0.8216000199317932,0.11781770316883922
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.057134258166659666,,0.0018723481334745884,0.0033225722145289183,0.9596942067146301,0.5056842262856662
diabetes,TabICL_GPU,512,256,0.31175968419730515,0.47251602772377266,0.022503234446048737,0.06585345417261124,0.7734375,0.003864375874400139
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06619996804418236,,0.009627791121602058,0.01586122252047062,0.9587500095367432,0.009909267071634531
heloc,TabICL_GPU,6972,3487,0.36516723200790896,0.5456127930346153,0.011146947741508484,0.017367158085107803,0.7301405072212219,0.040895509999245405
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3074271121248625,0.4719829750780674,0.010138444602489471,0.025301307439804077,0.7788552641868591,0.04997388506308198
jm1,TabICL_GPU,7256,3629,0.25578177277902886,0.4077134275932063,0.005467690993100405,0.011499163694679737,0.8230917453765869,0.043495943769812584
kddcup09_appetency,TabICL_GPU,33333,16667,0.03395762591196559,0.07803516933390042,0.002666329499334097,0.0023136676754802465,0.9821803569793701,0.1939229341223836
