dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
polish_companies_bankruptcy,TabICLv2,3940,1970,0.03115592808667469,0.06260154414215843,0.007157516200095415,0.012113767676055431,0.9807106852531433,0.007954798638820648
qsar-biodeg,TabICLv2,702,352,0.17209717607294903,0.3017879860545753,0.027390308678150177,0.05881977826356888,0.8920454382896423,0.004206132143735886
seismic-bumps,TabICLv2,1722,862,0.1082577574534087,0.2013313770953086,0.010466202162206173,0.01338859461247921,0.9338747262954712,0.017845038324594498
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.0423956140292849,0.07892586818357268,0.005508231930434704,0.006956334225833416,0.9705235362052917,0.020796842873096466
APSFailure,RealTabPFN-v2.5,50666,25334,0.00865011458432266,0.016349369971360446,0.00044640907435677946,0.0012461431324481964,0.9944738149642944,0.1466352865099907
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08274502870305002,0.15898606534552423,0.0030068885535001755,0.005370970815420151,0.9479996562004089,0.07148820161819458
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.1944101892507149,0.31844564999391617,0.00884137861430645,0.019469987601041794,0.8692261576652527,0.014808036386966705
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2715470853032445,0.42258679894468637,0.027518978342413902,0.040298305451869965,0.8145483732223511,0.016091622412204742
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15400230924030053,0.2815184368138269,0.0041121020913124084,0.0047576711513102055,0.9118707776069641,0.18218112736940384
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35508622123567096,0.4960247972370087,0.015129223465919495,0.014537232927978039,0.6855740547180176,0.024936456233263016
Fitness_Club,RealTabPFN-v2.5,1000,500,0.31346934947278443,0.47596254347174327,0.019685234874486923,0.05840221792459488,0.7760000228881836,0.011620599776506424
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09707656781842523,0.17545501537210578,0.0035287924110889435,0.003988695330917835,0.9386600255966187,0.15705743804574013
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2684402076774975,0.42365367210095006,0.00979451835155487,0.013720005750656128,0.8048856854438782,0.025690704584121704
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.1939120763958492,0.3324210689654279,0.015234977006912231,0.025104880332946777,0.8782608509063721,0.004501208662986755
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1329992649795041,0.21369682775673007,0.01853920891880989,0.034970879554748535,0.9022757411003113,0.005595259368419647
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.0844429646798395,0.1438335692809118,0.007646271493285894,0.009941834956407547,0.9411293268203735,0.010374009609222412
bank-marketing,RealTabPFN-v2.5,30140,15071,0.22700929170279815,0.37716109608867693,0.10625921189785004,0.10608229786157608,0.85103839635849,0.07518138363957405
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.3028390872110293,0.4830812260801164,0.04822118580341339,0.10005537420511246,0.800000011920929,0.009579256176948547
churn,RealTabPFN-v2.5,3333,1667,0.048836996450899756,0.10705278091767179,0.0068465424701571465,0.01046312041580677,0.9682063460350037,0.012603472918272018
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10587048511993717,0.2165850541353916,0.005986531265079975,0.007618935778737068,0.9407452940940857,0.02124687284231186
credit-g,RealTabPFN-v2.5,666,334,0.32934153587908965,0.49750438342412506,0.026974596083164215,0.05729803442955017,0.7514970302581787,0.0037205591797828674
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.2625196012465012,0.419552108218088,0.005893029738217592,0.011642240919172764,0.8228999972343445,0.0374615304172039
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05393048981203435,0.0874334856522492,0.0019984873943030834,0.003867815714329481,0.9625352025032043,0.1438882201910019
diabetes,RealTabPFN-v2.5,512,256,0.327630066566532,0.489740349994845,0.09848284721374512,0.0955292358994484,0.73828125,0.010114975273609161
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06535983425516,0.11968716701419484,0.013859480619430542,0.02251250669360161,0.9574999809265137,0.011662028729915619
heloc,RealTabPFN-v2.5,6972,3487,0.3636619688461439,0.5436386754572343,0.014714743942022324,0.01837742142379284,0.7307140827178955,0.02364753559231758
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.31813632867914926,0.4853667216786109,0.07059542089700699,0.07057470083236694,0.765373706817627,0.03133973851799965
jm1,RealTabPFN-v2.5,7256,3629,0.2600623272167738,0.41230234263711585,0.010557938367128372,0.021954169496893883,0.8178561329841614,0.019335608929395676
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.03331454303358297,0.07539244123709306,0.0015417030081152916,0.0006462953751906753,0.9821803569793701,0.11176648736000061
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.13929179654859242,0.22346339128857434,0.004486897960305214,0.0098341703414917,0.9026764035224915,0.017858650535345078
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.21404850341397846,0.3376235335700753,0.21074752509593964,0.21073193848133087,0.8497461676597595,0.014360882341861725
qsar-biodeg,RealTabPFN-v2.5,702,352,0.1810490958930161,0.30964961503769334,0.014722000807523727,0.032304562628269196,0.8835227489471436,0.006785225123167038
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10832413479252262,0.20168213550553607,0.007323011755943298,0.01122585590928793,0.9338747262954712,0.010836660861968994
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.0429581551719768,0.07830235463844083,0.004131324589252472,0.005873622372746468,0.9709634780883789,0.020489010959863663
APSFailure,TabICL_GPU,50666,25334,0.008672248066523372,0.016228665318931603,0.0007686630124226213,0.0012807975290343165,0.9945132732391357,0.11513658240437508
Amazon_employee_access,TabICL_GPU,21846,10923,0.08086938047631291,0.1556973462485253,0.0030904696322977543,0.005883682053536177,0.9479996562004089,0.0367390401661396
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.19964659779322408,0.3264693693727619,0.00738140195608139,0.013700267300009727,0.8647270798683167,0.02858154848217964
Diabetes130US,TabICL_GPU,47678,23840,0.1561865607297069,0.2857733293585436,0.005604070611298084,0.005231393966823816,0.9119966626167297,0.09971386939287186
E-CommereShippingData,TabICL_GPU,7332,3667,0.3557055982729815,0.4969802077373594,0.015729494392871857,0.010404846630990505,0.6853013634681702,0.01626744493842125
Fitness_Club,TabICL_GPU,1000,500,0.31363929846736605,0.477228551538385,0.02184436097741127,0.07242295891046524,0.7799999713897705,0.004647478461265564
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09787574156794224,0.17630468543256483,0.002012087032198906,0.003975958563387394,0.9373800158500671,0.15082788094878197
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.26894516059962403,0.4236497434246254,0.010090943425893784,0.014372093603014946,0.8033197522163391,0.02316831424832344
